Wavelength,Sample1,Sample2,Sample3,Sample4,Sample5,Sample6
289,78.252,76.373,20.916,19.566,55.282,27.994
289.5,77.445,75.664,20.711,19.397,54.896,27.743
290,76.888,75.087,20.539,19.263,54.567,27.519
290.5,76.5,74.747,20.371,19.166,54.243,27.33
291,76.3,74.529,20.2,18.982,53.936,27.158
291.5,76.144,74.316,20.061,18.881,53.588,26.993
292,75.943,73.943,19.884,18.736,53.249,26.884
292.5,75.355,73.456,19.726,18.698,52.973,26.772
293,74.945,72.993,19.543,18.583,52.74,26.632
293.5,74.248,72.456,19.452,18.492,52.384,26.568
294,73.725,72.006,19.319,18.346,51.985,26.381
294.5,73.212,71.6,19.129,18.183,51.668,26.154
295,72.838,71.225,19.067,18.051,51.367,25.95
295.5,72.399,70.81,18.945,17.928,51.054,25.743
296,71.934,70.309,18.881,17.784,50.701,25.592
296.5,71.495,69.901,18.739,17.58,50.382,25.352
297,71.02,69.496,18.595,17.444,50.056,25.182
297.5,70.524,69.01,18.526,17.371,49.722,24.996
298,70.274,68.755,18.417,17.284,49.484,24.858
298.5,70.095,68.627,18.323,17.128,49.15,24.743
299,70.043,68.551,18.194,17.035,48.857,24.57
299.5,69.814,68.268,18.035,16.87,48.526,24.438
300,69.482,67.787,17.924,16.737,48.108,24.289
300.5,68.976,67.14,17.681,16.577,47.687,24.072
301,68.372,66.665,17.526,16.42,47.281,23.916
301.5,67.809,66.186,17.391,16.287,46.901,23.799
302,67.226,65.721,17.302,16.222,46.515,23.659
302.5,66.732,65.202,17.244,16.114,46.138,23.45
303,66.328,64.839,17.165,16.024,45.912,23.262
303.5,65.858,64.408,17.046,15.879,45.708,23.066
304,65.405,63.936,17.029,15.892,45.381,22.912
304.5,64.92,63.328,16.89,15.786,45,22.725
305,64.508,62.776,16.744,15.682,44.615,22.499
305.5,64.014,62.24,16.572,15.545,44.21,22.225
306,63.584,61.942,16.357,15.418,43.794,22.067
306.5,63.266,61.552,16.252,15.359,43.351,22.001
307,62.817,61.161,16.053,15.172,42.974,21.805
307.5,62.304,60.735,15.878,14.944,42.59,21.603
308,61.721,60.322,15.718,14.794,42.216,21.457
308.5,61.133,59.788,15.561,14.694,41.822,21.289
309,60.634,59.393,15.49,14.666,41.417,21.167
309.5,60.191,58.93,15.358,14.568,41.072,20.928
310,59.799,58.497,15.279,14.462,40.776,20.761
310.5,59.381,58.118,15.132,14.366,40.453,20.497
311,59.055,57.836,15.004,14.259,40.09,20.345
311.5,58.769,57.449,14.931,14.169,39.759,20.246
312,58.485,57.244,14.786,14.003,39.477,20.086
312.5,58.088,56.935,14.685,13.87,39.157,19.935
313,57.593,56.58,14.584,13.764,38.823,19.786
313.5,57.2,56.265,14.435,13.712,38.508,19.607
314,56.832,55.897,14.313,13.614,38.243,19.466
314.5,56.391,55.433,14.145,13.481,37.981,19.277
315,55.977,55.02,13.986,13.385,37.694,19.16
